Station information:,,,,,,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority,,,,,
"Auckland, Motat Ews",41351,A6487G,-36.86297,174.71185,16,H,Niwa,,,,,
"Wellington, Kelburn Aws",25354,E1427P,-41.28445,174.76794,125,H,Metservice,,,,,
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,,,,,,
,,,,,,,,,,,,
Surface Wind: Wind Run (Km),,,,,,,,,,,,
Station,Date(NZST),Time(NZST),Dir(DegT),WindRUN(km),Dir StdDev,Spd StdDev,Period(Hrs),Freq,,,,
"Wellington, Kelburn Aws",5/02/2017,8,-,467,-,-,24,D,,,,
"Auckland, Motat Ews",6/02/2017,8,-,219,-,-,24,D,,,,
"Wellington, Kelburn Aws",6/02/2017,8,-,514,-,-,24,D,,,,
"Auckland, Motat Ews",7/02/2017,8,-,211,-,-,24,D,,,,
"Wellington, Kelburn Aws",7/02/2017,8,-,655,-,-,24,D,,,,
"Auckland, Motat Ews",8/02/2017,8,-,290,-,-,24,D,,,,
"Wellington, Kelburn Aws",8/02/2017,8,-,418,-,-,24,D,,,,
"Auckland, Motat Ews",9/02/2017,8,-,271,-,-,24,D,,,,
"Wellington, Kelburn Aws",9/02/2017,8,-,665,-,-,24,D,,,,
"Auckland, Motat Ews",10/02/2017,8,-,228,-,-,24,D,,,,
"Wellington, Kelburn Aws",10/02/2017,8,-,361,-,-,24,D,,,,
"Auckland, Motat Ews",11/02/2017,8,-,162,-,-,24,D,,,,
"Wellington, Kelburn Aws",11/02/2017,8,-,219,-,-,24,D,,,,
"Auckland, Motat Ews",12/02/2017,8,-,248,-,-,24,D,,,,
"Wellington, Kelburn Aws",12/02/2017,8,-,366,-,-,24,D,,,,
"Auckland, Motat Ews",13/02/2017,8,-,366,-,-,24,D,,,,
"Wellington, Kelburn Aws",13/02/2017,8,-,685,-,-,24,D,,,,
"Auckland, Motat Ews",14/02/2017,8,-,320,-,-,24,D,,,,
"Wellington, Kelburn Aws",14/02/2017,8,-,779,-,-,24,D,,,,
"Auckland, Motat Ews",15/02/2017,8,-,185,-,-,24,D,,,,
"Wellington, Kelburn Aws",15/02/2017,8,-,516,-,-,24,D,,,,
"Auckland, Motat Ews",16/02/2017,8,-,269,-,-,24,D,,,,
"Wellington, Kelburn Aws",16/02/2017,8,-,265,-,-,24,D,,,,
"Auckland, Motat Ews",17/02/2017,8,-,237,-,-,24,D,,,,
"Wellington, Kelburn Aws",17/02/2017,8,-,194,-,-,24,D,,,,
"Auckland, Motat Ews",18/02/2017,8,-,173,-,-,24,D,,,,
"Wellington, Kelburn Aws",18/02/2017,8,-,375,-,-,24,D,,,,
"Auckland, Motat Ews",19/02/2017,8,-,207,-,-,24,D,,,,
"Wellington, Kelburn Aws",19/02/2017,8,-,178,-,-,24,D,,,,
"Auckland, Motat Ews",20/02/2017,8,-,259,-,-,24,D,,,,
"Wellington, Kelburn Aws",20/02/2017,8,-,171,-,-,24,D,,,,
"Auckland, Motat Ews",21/02/2017,8,-,314,-,-,24,D,,,,
"Wellington, Kelburn Aws",21/02/2017,8,-,314,-,-,24,D,,,,
"Auckland, Motat Ews",22/02/2017,8,-,194,-,-,24,D,,,,
"Wellington, Kelburn Aws",22/02/2017,8,-,483,-,-,24,D,,,,
"Auckland, Motat Ews",23/02/2017,8,-,213,-,-,24,D,,,,
"Wellington, Kelburn Aws",23/02/2017,8,-,381,-,-,24,D,,,,
"Auckland, Motat Ews",24/02/2017,8,-,163,-,-,24,D,,,,
"Wellington, Kelburn Aws",24/02/2017,8,-,461,-,-,24,D,,,,
"Auckland, Motat Ews",25/02/2017,8,-,128,-,-,24,D,,,,
"Wellington, Kelburn Aws",25/02/2017,8,-,232,-,-,24,D,,,,
"Auckland, Motat Ews",26/02/2017,8,-,180,-,-,24,D,,,,
"Wellington, Kelburn Aws",26/02/2017,8,-,294,-,-,24,D,,,,
"Auckland, Motat Ews",27/02/2017,8,-,205,-,-,24,D,,,,
"Wellington, Kelburn Aws",27/02/2017,8,-,431,-,-,24,D,,,,
"Auckland, Motat Ews",28/02/2017,8,-,236,-,-,24,D,,,,
"Wellington, Kelburn Aws",28/02/2017,8,-,169,-,-,24,D,,,,
"Auckland, Motat Ews",1/03/2017,8,-,181,-,-,24,D,,,,
"Wellington, Kelburn Aws",1/03/2017,8,-,204,-,-,24,D,,,,
"Auckland, Motat Ews",2/03/2017,8,-,120,-,-,24,D,,,,
"Wellington, Kelburn Aws",2/03/2017,8,-,270,-,-,24,D,,,,
"Auckland, Motat Ews",3/03/2017,8,-,243,-,-,24,D,,,,
"Wellington, Kelburn Aws",3/03/2017,8,-,243,-,-,24,D,,,,
"Auckland, Motat Ews",4/03/2017,8,-,174,-,-,24,D,,,,
"Wellington, Kelburn Aws",4/03/2017,8,-,414,-,-,24,D,,,,
"Auckland, Motat Ews",5/03/2017,8,-,247,-,-,24,D,,,,
"Wellington, Kelburn Aws",5/03/2017,8,-,406,-,-,24,D,,,,
"Auckland, Motat Ews",6/03/2017,8,-,243,-,-,24,D,,,,
"Wellington, Kelburn Aws",6/03/2017,8,-,537,-,-,24,D,,,,
"Auckland, Motat Ews",7/03/2017,8,-,189,-,-,24,D,,,,
"Wellington, Kelburn Aws",7/03/2017,8,-,537,-,-,24,D,,,,
"Auckland, Motat Ews",8/03/2017,8,-,262,-,-,24,D,,,,
"Wellington, Kelburn Aws",8/03/2017,8,-,643,-,-,24,D,,,,
"Auckland, Motat Ews",9/03/2017,8,-,397,-,-,24,D,,,,
"Wellington, Kelburn Aws",9/03/2017,8,-,699,-,-,24,D,,,,
"Auckland, Motat Ews",10/03/2017,8,-,548,-,-,24,D,,,,
"Wellington, Kelburn Aws",10/03/2017,8,-,323,-,-,24,D,,,,
"Auckland, Motat Ews",11/03/2017,8,-,377,-,-,24,D,,,,
"Wellington, Kelburn Aws",11/03/2017,8,-,244,-,-,24,D,,,,
"Auckland, Motat Ews",12/03/2017,8,-,314,-,-,24,D,,,,
"Wellington, Kelburn Aws",12/03/2017,8,-,540,-,-,24,D,,,,
"Auckland, Motat Ews",13/03/2017,8,-,285,-,-,24,D,,,,
"Wellington, Kelburn Aws",13/03/2017,8,-,419,-,-,24,D,,,,
"Auckland, Motat Ews",14/03/2017,8,-,229,-,-,24,D,,,,
"Wellington, Kelburn Aws",14/03/2017,8,-,319,-,-,24,D,,,,
"Auckland, Motat Ews",15/03/2017,8,-,258,-,-,24,D,,,,
"Wellington, Kelburn Aws",15/03/2017,8,-,777,-,-,24,D,,,,
"Auckland, Motat Ews",16/03/2017,8,-,262,-,-,24,D,,,,
"Wellington, Kelburn Aws",16/03/2017,8,-,370,-,-,24,D,,,,
"Auckland, Motat Ews",17/03/2017,8,-,146,-,-,24,D,,,,
"Wellington, Kelburn Aws",17/03/2017,8,-,188,-,-,24,D,,,,
"Auckland, Motat Ews",18/03/2017,8,-,151,-,-,24,D,,,,
"Wellington, Kelburn Aws",18/03/2017,8,-,401,-,-,24,D,,,,
"Auckland, Motat Ews",19/03/2017,8,-,259,-,-,24,D,,,,
"Wellington, Kelburn Aws",19/03/2017,8,-,438,-,-,24,D,,,,
"Auckland, Motat Ews",20/03/2017,8,-,151,-,-,24,D,,,,
"Wellington, Kelburn Aws",20/03/2017,8,-,383,-,-,24,D,,,,
"Auckland, Motat Ews",21/03/2017,8,-,314,-,-,24,D,,,,
"Wellington, Kelburn Aws",21/03/2017,8,-,508,-,-,24,D,,,,
"Auckland, Motat Ews",22/03/2017,8,-,341,-,-,24,D,,,,
"Wellington, Kelburn Aws",22/03/2017,8,-,238,-,-,24,D,,,,
"Auckland, Motat Ews",23/03/2017,8,-,224,-,-,24,D,,,,
"Wellington, Kelburn Aws",23/03/2017,8,-,337,-,-,24,D,,,,
"Auckland, Motat Ews",24/03/2017,8,-,177,-,-,24,D,,,,
"Wellington, Kelburn Aws",24/03/2017,8,-,231,-,-,24,D,,,,
"Auckland, Motat Ews",25/03/2017,8,-,158,-,-,24,D,,,,
"Wellington, Kelburn Aws",25/03/2017,8,-,492,-,-,24,D,,,,
"Auckland, Motat Ews",26/03/2017,8,-,273,-,-,24,D,,,,
"Wellington, Kelburn Aws",26/03/2017,8,-,218,-,-,24,D,,,,
