Station information:,,,,,,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority,,,,,
"Auckland, Motat Ews",41351,A6487G,-36.86297,174.71185,16,H,Niwa,,,,,
"Wellington, Kelburn Aws",25354,E1427P,-41.28445,174.76794,125,H,Metservice,,,,,
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,,,,,,
,,,,,,,,,,,,
Surface Wind: Wind Run (Km),,,,,,,,,,,,
Station,Date(NZST),Time(NZST),Dir(DegT),WindRUN(km),Dir StdDev,Spd StdDev,Period(Hrs),Freq,,,,
"Auckland, Motat Ews",16/09/2017,9,8.2,-,0,0.5,24,D,,,,
"Wellington, Kelburn Aws",16/09/2017,9,5.8,-,7.3,0,24,D,,,,
"Auckland, Motat Ews",17/09/2017,9,2.2,-,0,0,24,D,,,,
"Wellington, Kelburn Aws",17/09/2017,9,0.2,-,9,0,24,D,,,,
"Auckland, Motat Ews",18/09/2017,9,16.2,-,0,13.9,24,D,,,,
"Wellington, Kelburn Aws",18/09/2017,9,23.2,-,0,12.3,24,D,,,,
"Auckland, Motat Ews",19/09/2017,9,9.4,-,0,7.2,24,D,,,,
"Wellington, Kelburn Aws",19/09/2017,9,0.6,-,1.3,0,24,D,,,,
"Auckland, Motat Ews",20/09/2017,9,0,-,2.2,0,24,D,,,,
"Wellington, Kelburn Aws",20/09/2017,9,7.8,-,0,4.6,24,D,,,,
"Auckland, Motat Ews",21/09/2017,9,2.6,-,1.9,0,24,D,,,,
"Wellington, Kelburn Aws",21/09/2017,9,1.2,-,0.7,0,24,D,,,,
"Auckland, Motat Ews",22/09/2017,9,4,-,0.1,0,24,D,,,,
"Wellington, Kelburn Aws",22/09/2017,9,6.6,-,0,4,24,D,,,,
"Auckland, Motat Ews",23/09/2017,9,1,-,1.3,0,24,D,,,,
"Wellington, Kelburn Aws",23/09/2017,9,0.4,-,1.5,0,24,D,,,,
"Auckland, Motat Ews",24/09/2017,8,0,-,3.6,0,24,D,,,,
"Wellington, Kelburn Aws",24/09/2017,8,0,-,3.4,0,24,D,,,,
"Auckland, Motat Ews",25/09/2017,8,0,-,5.8,0,24,D,,,,
"Wellington, Kelburn Aws",25/09/2017,8,0,-,5.3,0,24,D,,,,
"Auckland, Motat Ews",26/09/2017,8,0,-,8.1,0,24,D,,,,
"Wellington, Kelburn Aws",26/09/2017,8,7.2,-,0,0,24,D,,,,
"Auckland, Motat Ews",27/09/2017,8,7.2,-,3.1,0,24,D,,,,
"Wellington, Kelburn Aws",27/09/2017,8,1.8,-,0.1,0,24,D,,,,
"Auckland, Motat Ews",28/09/2017,8,1,-,4.3,0,24,D,,,,
"Wellington, Kelburn Aws",28/09/2017,8,0,-,2,0,24,D,,,,
"Auckland, Motat Ews",29/09/2017,8,0,-,6.6,0,24,D,,,,
"Wellington, Kelburn Aws",29/09/2017,8,0,-,3.9,0,24,D,,,,
"Auckland, Motat Ews",30/09/2017,8,0.4,-,8.4,0,24,D,,,,
"Wellington, Kelburn Aws",30/09/2017,8,4,-,1.8,0,24,D,,,,
"Auckland, Motat Ews",1/10/2017,8,2,-,8.6,0,24,D,,,,
"Wellington, Kelburn Aws",1/10/2017,8,0,-,3.7,0,24,D,,,,
"Auckland, Motat Ews",2/10/2017,8,16.2,-,0,4.6,24,D,,,,
"Wellington, Kelburn Aws",2/10/2017,8,3.6,-,3.4,0,24,D,,,,
"Auckland, Motat Ews",3/10/2017,8,0.8,-,2.1,0,24,D,,,,
"Wellington, Kelburn Aws",3/10/2017,8,0.2,-,6.5,0,24,D,,,,
"Auckland, Motat Ews",4/10/2017,8,0,-,5.1,0,24,D,,,,
"Wellington, Kelburn Aws",4/10/2017,8,0,-,9.8,0,24,D,,,,
"Auckland, Motat Ews",5/10/2017,8,0,-,8,0,24,D,,,,
"Wellington, Kelburn Aws",5/10/2017,8,0,-,13.1,0,24,D,,,,
"Auckland, Motat Ews",6/10/2017,8,0,-,11,0,24,D,,,,
"Wellington, Kelburn Aws",6/10/2017,8,1.4,-,15.1,0,24,D,,,,
"Auckland, Motat Ews",7/10/2017,8,1.4,-,12.5,0,24,D,,,,
"Wellington, Kelburn Aws",7/10/2017,8,5.6,-,12.8,0,24,D,,,,
"Auckland, Motat Ews",8/10/2017,8,13.2,-,2.3,0,24,D,,,,
"Wellington, Kelburn Aws",8/10/2017,8,16.4,-,0,0.3,24,D,,,,
"Auckland, Motat Ews",9/10/2017,8,6.6,-,0,1.4,24,D,,,,
"Wellington, Kelburn Aws",9/10/2017,8,4.8,-,0,1.5,24,D,,,,
"Auckland, Motat Ews",10/10/2017,8,0.4,-,2.5,0,24,D,,,,
"Wellington, Kelburn Aws",10/10/2017,8,0.6,-,2.7,0,24,D,,,,
"Auckland, Motat Ews",11/10/2017,8,0.8,-,4.7,0,24,D,,,,
"Wellington, Kelburn Aws",11/10/2017,8,0.4,-,5.6,0,24,D,,,,
"Auckland, Motat Ews",12/10/2017,8,1.2,-,6.4,0,24,D,,,,
"Wellington, Kelburn Aws",12/10/2017,8,14.2,-,0,5.3,24,D,,,,
"Auckland, Motat Ews",13/10/2017,8,0,-,9.4,0,24,D,,,,
"Wellington, Kelburn Aws",13/10/2017,8,0,-,3.3,0,24,D,,,,
"Auckland, Motat Ews",14/10/2017,8,2.2,-,10.1,0,24,D,,,,
"Wellington, Kelburn Aws",14/10/2017,8,0.4,-,6.2,0,24,D,,,,
"Auckland, Motat Ews",15/10/2017,8,0,-,13.1,0,24,D,,,,
"Wellington, Kelburn Aws",15/10/2017,8,5.2,-,4.3,0,24,D,,,,
"Auckland, Motat Ews",16/10/2017,8,0,-,16,0,24,D,,,,
"Wellington, Kelburn Aws",16/10/2017,8,8.8,-,0,1.1,24,D,,,,
"Auckland, Motat Ews",17/10/2017,8,0,-,18.9,0,24,D,,,,
"Wellington, Kelburn Aws",17/10/2017,8,0,-,3.3,0,24,D,,,,
"Auckland, Motat Ews",18/10/2017,8,0.4,-,21.5,0,24,D,,,,
"Wellington, Kelburn Aws",18/10/2017,8,0.4,-,6.2,0,24,D,,,,
"Auckland, Motat Ews",19/10/2017,8,0,-,24.4,0,24,D,,,,
"Wellington, Kelburn Aws",19/10/2017,8,0.2,-,9.3,0,24,D,,,,
"Auckland, Motat Ews",20/10/2017,8,0,-,27.4,0,24,D,,,,
"Wellington, Kelburn Aws",20/10/2017,8,0,-,12.7,0,24,D,,,,
"Auckland, Motat Ews",21/10/2017,8,0,-,30.3,0,24,D,,,,
"Wellington, Kelburn Aws",21/10/2017,8,0,-,16,0,24,D,,,,
"Auckland, Motat Ews",22/10/2017,8,0,-,33.2,0,24,D,,,,
"Wellington, Kelburn Aws",22/10/2017,8,0,-,19.3,0,24,D,,,,
"Auckland, Motat Ews",23/10/2017,8,3.8,-,32.4,0,24,D,,,,
"Wellington, Kelburn Aws",23/10/2017,8,0,-,22.6,0,24,D,,,,
"Auckland, Motat Ews",24/10/2017,8,3.8,-,31.5,0,24,D,,,,
"Wellington, Kelburn Aws",24/10/2017,8,0,-,25.9,0,24,D,,,,
"Auckland, Motat Ews",25/10/2017,8,0.4,-,34.1,0,24,D,,,,
"Wellington, Kelburn Aws",25/10/2017,8,0,-,29.2,0,24,D,,,,
"Auckland, Motat Ews",26/10/2017,8,0.2,-,36.8,0,24,D,,,,
"Wellington, Kelburn Aws",26/10/2017,8,2.4,-,30.2,0,24,D,,,,
"Auckland, Motat Ews",27/10/2017,8,0.8,-,39,0,24,D,,,,
"Wellington, Kelburn Aws",27/10/2017,8,0.2,-,33.3,0,24,D,,,,
"Auckland, Motat Ews",28/10/2017,8,11.4,-,30.5,0,24,D,,,,
"Wellington, Kelburn Aws",28/10/2017,8,0,-,36.6,0,24,D,,,,
"Auckland, Motat Ews",29/10/2017,8,0,-,33.4,0,24,D,,,,
"Wellington, Kelburn Aws",29/10/2017,8,0,-,39.9,0,24,D,,,,
"Auckland, Motat Ews",30/10/2017,8,0.2,-,36.2,0,24,D,,,,
"Wellington, Kelburn Aws",30/10/2017,8,0,-,43.2,0,24,D,,,,
"Auckland, Motat Ews",31/10/2017,8,0,-,39.1,0,24,D,,,,
"Wellington, Kelburn Aws",31/10/2017,8,0,-,46.5,0,24,D,,,,
"Auckland, Motat Ews",1/11/2017,8,0,-,42.1,0,24,D,,,,
"Wellington, Kelburn Aws",1/11/2017,8,0,-,49.9,0,24,D,,,,
"Auckland, Motat Ews",2/11/2017,8,0,-,46.3,0,24,D,,,,
"Wellington, Kelburn Aws",2/11/2017,8,0,-,54.5,0,24,D,,,,
"Auckland, Motat Ews",3/11/2017,8,1.8,-,48.7,0,24,D,,,,
"Wellington, Kelburn Aws",3/11/2017,8,1.6,-,57.6,0,24,D,,,,
"Auckland, Motat Ews",4/11/2017,8,0.2,-,52.7,0,24,D,,,,
"Wellington, Kelburn Aws",4/11/2017,8,1.2,-,61.1,0,24,D,,,,
"Auckland, Motat Ews",5/11/2017,8,5.6,-,51.3,0,24,D,,,,
"Wellington, Kelburn Aws",5/11/2017,8,0.2,-,65.6,0,24,D,,,,
"Auckland, Motat Ews",6/11/2017,8,0,-,55.5,0,24,D,,,,
"Wellington, Kelburn Aws",6/11/2017,8,0,-,70.3,0,24,D,,,,
"Auckland, Motat Ews",7/11/2017,8,0,-,59.8,0,24,D,,,,
"Wellington, Kelburn Aws",7/11/2017,8,0,-,74.9,0,24,D,,,,
"Auckland, Motat Ews",8/11/2017,8,5.4,-,58.6,0,24,D,,,,
"Wellington, Kelburn Aws",8/11/2017,8,12,-,67.6,0,24,D,,,,
"Auckland, Motat Ews",9/11/2017,8,0.2,-,62.6,0,24,D,,,,
"Wellington, Kelburn Aws",9/11/2017,8,0.2,-,72.1,0,24,D,,,,
"Auckland, Motat Ews",10/11/2017,8,0,-,66.8,0,24,D,,,,
"Wellington, Kelburn Aws",10/11/2017,8,0.6,-,76.2,0,24,D,,,,
"Auckland, Motat Ews",11/11/2017,8,0,-,71,0,24,D,,,,
"Wellington, Kelburn Aws",11/11/2017,8,0,-,80.8,0,24,D,,,,
"Auckland, Motat Ews",12/11/2017,8,0,-,75.2,0,24,D,,,,
"Wellington, Kelburn Aws",12/11/2017,8,0,-,85.1,0,24,D,,,,
"Auckland, Motat Ews",13/11/2017,8,0,-,79.5,0,24,D,,,,
"Wellington, Kelburn Aws",13/11/2017,8,1.2,-,88,0,24,D,,,,
"Auckland, Motat Ews",14/11/2017,8,0,-,83.4,0,24,D,,,,
"Wellington, Kelburn Aws",14/11/2017,8,0.2,-,91.6,0,24,D,,,,
"Auckland, Motat Ews",15/11/2017,8,7,-,80.2,0,24,D,,,,
"Wellington, Kelburn Aws",15/11/2017,8,0,-,95.3,0,24,D,,,,
"Auckland, Motat Ews",16/11/2017,8,0,-,84.1,0,24,D,,,,
"Wellington, Kelburn Aws",16/11/2017,8,0,-,98.7,0,24,D,,,,
"Auckland, Motat Ews",17/11/2017,8,0,-,87.8,0,24,D,,,,
"Wellington, Kelburn Aws",17/11/2017,8,0,-,101.9,0,24,D,,,,
"Auckland, Motat Ews",18/11/2017,8,0,-,91.3,0,24,D,,,,
"Wellington, Kelburn Aws",18/11/2017,8,0,-,104.9,0,24,D,,,,
"Auckland, Motat Ews",19/11/2017,8,5.8,-,88.8,0,24,D,,,,
"Wellington, Kelburn Aws",19/11/2017,8,0,-,107.7,0,24,D,,,,
"Auckland, Motat Ews",20/11/2017,8,0.6,-,91.6,0,24,D,,,,
"Wellington, Kelburn Aws",20/11/2017,8,0,-,110.3,0,24,D,,,,
"Auckland, Motat Ews",21/11/2017,8,0,-,94.9,0,24,D,,,,
"Wellington, Kelburn Aws",21/11/2017,8,0,-,112.8,0,24,D,,,,
"Auckland, Motat Ews",22/11/2017,8,0,-,98,0,24,D,,,,
"Wellington, Kelburn Aws",22/11/2017,8,0,-,115.1,0,24,D,,,,
"Auckland, Motat Ews",23/11/2017,8,0,-,100.9,0,24,D,,,,
"Wellington, Kelburn Aws",23/11/2017,8,0,-,117.3,0,24,D,,,,
"Auckland, Motat Ews",24/11/2017,8,0,-,103.7,0,24,D,,,,
"Wellington, Kelburn Aws",24/11/2017,8,0,-,119.4,0,24,D,,,,
"Auckland, Motat Ews",25/11/2017,8,0,-,106.3,0,24,D,,,,
"Wellington, Kelburn Aws",25/11/2017,8,0,-,121.3,0,24,D,,,,
"Auckland, Motat Ews",26/11/2017,8,0,-,108.8,0,24,D,,,,
"Wellington, Kelburn Aws",26/11/2017,8,0,-,123.1,0,24,D,,,,
"Auckland, Motat Ews",27/11/2017,8,0,-,111.1,0,24,D,,,,
"Wellington, Kelburn Aws",27/11/2017,8,0,-,124.7,0,24,D,,,,
"Auckland, Motat Ews",28/11/2017,8,0,-,113.3,0,24,D,,,,
"Wellington, Kelburn Aws",28/11/2017,8,0,-,126.3,0,24,D,,,,
"Auckland, Motat Ews",29/11/2017,8,0,-,115.3,0,24,D,,,,
"Wellington, Kelburn Aws",29/11/2017,8,0,-,127.8,0,24,D,,,,
"Auckland, Motat Ews",30/11/2017,8,5.8,-,111.5,0,24,D,,,,
"Wellington, Kelburn Aws",30/11/2017,8,0,-,129.2,0,24,D,,,,
"Auckland, Motat Ews",1/12/2017,8,6.2,-,107.4,0,24,D,,,,
"Wellington, Kelburn Aws",1/12/2017,8,0,-,130.5,0,24,D,,,,
"Auckland, Motat Ews",2/12/2017,8,0,-,110.6,0,24,D,,,,
"Wellington, Kelburn Aws",2/12/2017,8,0,-,131.9,0,24,D,,,,
"Auckland, Motat Ews",3/12/2017,8,0,-,113.5,0,24,D,,,,
"Wellington, Kelburn Aws",3/12/2017,8,0,-,133.2,0,24,D,,,,
"Auckland, Motat Ews",4/12/2017,8,0,-,116.2,0,24,D,,,,
"Wellington, Kelburn Aws",4/12/2017,8,0,-,134.5,0,24,D,,,,
"Auckland, Motat Ews",5/12/2017,8,0,-,118.8,0,24,D,,,,
"Wellington, Kelburn Aws",5/12/2017,8,0,-,135.6,0,24,D,,,,
"Auckland, Motat Ews",6/12/2017,8,0,-,121.1,0,24,D,,,,
"Wellington, Kelburn Aws",6/12/2017,8,0,-,136.7,0,24,D,,,,
"Auckland, Motat Ews",7/12/2017,8,0,-,123.2,0,24,D,,,,
"Wellington, Kelburn Aws",7/12/2017,8,0,-,137.6,0,24,D,,,,
"Auckland, Motat Ews",8/12/2017,8,0,-,125.2,0,24,D,,,,
"Wellington, Kelburn Aws",8/12/2017,8,0,-,138.6,0,24,D,,,,
"Auckland, Motat Ews",9/12/2017,8,1.4,-,125.7,0,24,D,,,,
"Wellington, Kelburn Aws",9/12/2017,8,0,-,139.4,0,24,D,,,,
"Auckland, Motat Ews",10/12/2017,8,0,-,127.5,0,24,D,,,,
"Wellington, Kelburn Aws",10/12/2017,8,0,-,140.2,0,24,D,,,,
"Auckland, Motat Ews",11/12/2017,8,0,-,129.1,0,24,D,,,,
"Wellington, Kelburn Aws",11/12/2017,8,0,-,140.9,0,24,D,,,,
"Auckland, Motat Ews",12/12/2017,8,0,-,130.7,0,24,D,,,,
"Wellington, Kelburn Aws",12/12/2017,8,0,-,141.6,0,24,D,,,,
"Auckland, Motat Ews",13/12/2017,8,0,-,132.1,0,24,D,,,,
"Wellington, Kelburn Aws",13/12/2017,8,0,-,142.2,0,24,D,,,,
"Auckland, Motat Ews",14/12/2017,8,3,-,130.5,0,24,D,,,,
"Wellington, Kelburn Aws",14/12/2017,8,14,-,128.8,0,24,D,,,,
"Auckland, Motat Ews",15/12/2017,8,0,-,131.9,0,24,D,,,,
"Wellington, Kelburn Aws",15/12/2017,8,0,-,130.3,0,24,D,,,,
"Auckland, Motat Ews",16/12/2017,8,0,-,133.3,0,24,D,,,,
"Wellington, Kelburn Aws",16/12/2017,8,0,-,131.8,0,24,D,,,,
"Auckland, Motat Ews",17/12/2017,8,0.2,-,134.3,0,24,D,,,,
"Wellington, Kelburn Aws",17/12/2017,8,0,-,133.1,0,24,D,,,,
"Auckland, Motat Ews",18/12/2017,8,0,-,135.5,0,24,D,,,,
"Wellington, Kelburn Aws",18/12/2017,8,1,-,133.3,0,24,D,,,,
"Auckland, Motat Ews",19/12/2017,8,2.2,-,134.3,0,24,D,,,,
"Wellington, Kelburn Aws",19/12/2017,8,0.4,-,134.2,0,24,D,,,,
"Auckland, Motat Ews",20/12/2017,8,8.8,-,126.7,0,24,D,,,,
"Wellington, Kelburn Aws",20/12/2017,8,4.6,-,130.7,0,24,D,,,,
"Auckland, Motat Ews",21/12/2017,8,0,-,128.4,0,24,D,,,,
"Wellington, Kelburn Aws",21/12/2017,8,0,-,132.1,0,24,D,,,,
"Auckland, Motat Ews",22/12/2017,8,0,-,130,0,24,D,,,,
"Wellington, Kelburn Aws",22/12/2017,8,0,-,133.5,0,24,D,,,,
"Auckland, Motat Ews",23/12/2017,8,0,-,131.5,0,24,D,,,,
"Wellington, Kelburn Aws",23/12/2017,8,0.2,-,134.5,0,24,D,,,,
"Auckland, Motat Ews",24/12/2017,8,0,-,132.9,0,24,D,,,,
"Wellington, Kelburn Aws",24/12/2017,8,0,-,135.6,0,24,D,,,,
"Auckland, Motat Ews",25/12/2017,8,0,-,134.2,0,24,D,,,,
"Wellington, Kelburn Aws",25/12/2017,8,0,-,136.7,0,24,D,,,,
"Auckland, Motat Ews",26/12/2017,8,1.6,-,133.7,0,24,D,,,,
"Wellington, Kelburn Aws",26/12/2017,8,17,-,120.6,0,24,D,,,,
"Auckland, Motat Ews",27/12/2017,8,0,-,135,0,24,D,,,,
"Wellington, Kelburn Aws",27/12/2017,8,9.2,-,113.6,0,24,D,,,,
"Auckland, Motat Ews",28/12/2017,8,0,-,136.1,0,24,D,,,,
"Wellington, Kelburn Aws",28/12/2017,8,1.8,-,114.5,0,24,D,,,,
"Auckland, Motat Ews",29/12/2017,8,0,-,137.1,0,24,D,,,,
"Wellington, Kelburn Aws",29/12/2017,8,0,-,117.1,0,24,D,,,,
"Auckland, Motat Ews",30/12/2017,8,0,-,138.1,0,24,D,,,,
"Wellington, Kelburn Aws",30/12/2017,8,0,-,119.5,0,24,D,,,,
"Auckland, Motat Ews",31/12/2017,8,0,-,139,0,24,D,,,,
"Wellington, Kelburn Aws",31/12/2017,8,0,-,121.7,0,24,D,,,,
"Auckland, Motat Ews",1/01/2018,8,0,-,139.8,0,24,D,,,,
"Wellington, Kelburn Aws",1/01/2018,8,0,-,123.8,0,24,D,,,,
"Auckland, Motat Ews",2/01/2018,8,6.2,-,134.2,0,24,D,,,,
"Wellington, Kelburn Aws",2/01/2018,8,0,-,125.5,0,24,D,,,,
"Auckland, Motat Ews",3/01/2018,8,0,-,135.3,0,24,D,,,,
"Wellington, Kelburn Aws",3/01/2018,8,0,-,127.1,0,24,D,,,,
"Auckland, Motat Ews",4/01/2018,8,0.4,-,135.9,0,24,D,,,,
"Wellington, Kelburn Aws",4/01/2018,8,0,-,128.6,0,24,D,,,,
"Auckland, Motat Ews",5/01/2018,8,43.2,-,93.6,0,24,D,,,,
"Wellington, Kelburn Aws",5/01/2018,8,17.6,-,112.4,0,24,D,,,,
"Auckland, Motat Ews",6/01/2018,8,14.2,-,83.1,0,24,D,,,,
"Wellington, Kelburn Aws",6/01/2018,8,27.6,-,87.3,0,24,D,,,,
"Auckland, Motat Ews",7/01/2018,8,0,-,87.5,0,24,D,,,,
"Wellington, Kelburn Aws",7/01/2018,8,0.6,-,90.8,0,24,D,,,,
"Auckland, Motat Ews",8/01/2018,8,0,-,91.6,0,24,D,,,,
"Wellington, Kelburn Aws",8/01/2018,8,0.4,-,94.2,0,24,D,,,,
"Auckland, Motat Ews",9/01/2018,8,0,-,95.5,0,24,D,,,,
"Wellington, Kelburn Aws",9/01/2018,8,0,-,97.9,0,24,D,,,,
"Auckland, Motat Ews",10/01/2018,8,0,-,99.1,0,24,D,,,,
"Wellington, Kelburn Aws",10/01/2018,8,1,-,100.3,0,24,D,,,,
"Auckland, Motat Ews",11/01/2018,8,0,-,102.5,0,24,D,,,,
"Wellington, Kelburn Aws",11/01/2018,8,9,-,94.5,0,24,D,,,,
"Auckland, Motat Ews",12/01/2018,8,0,-,105.6,0,24,D,,,,
"Wellington, Kelburn Aws",12/01/2018,8,3.2,-,94.9,0,24,D,,,,
"Auckland, Motat Ews",13/01/2018,8,0,-,108.5,0,24,D,,,,
"Wellington, Kelburn Aws",13/01/2018,8,0,-,98.5,0,24,D,,,,
"Auckland, Motat Ews",14/01/2018,8,0,-,111.3,0,24,D,,,,
"Wellington, Kelburn Aws",14/01/2018,8,0,-,101.9,0,24,D,,,,
"Auckland, Motat Ews",15/01/2018,8,0.4,-,113.4,0,24,D,,,,
"Wellington, Kelburn Aws",15/01/2018,8,0,-,105,0,24,D,,,,
"Auckland, Motat Ews",16/01/2018,8,0,-,115.8,0,24,D,,,,
"Wellington, Kelburn Aws",16/01/2018,8,0,-,108,0,24,D,,,,
"Auckland, Motat Ews",17/01/2018,8,0,-,118.1,0,24,D,,,,
"Wellington, Kelburn Aws",17/01/2018,8,0,-,110.7,0,24,D,,,,
"Auckland, Motat Ews",18/01/2018,8,11.2,-,109,0,24,D,,,,
"Wellington, Kelburn Aws",18/01/2018,8,19.6,-,93.7,0,24,D,,,,
"Auckland, Motat Ews",19/01/2018,8,21.6,-,90.1,0,24,D,,,,
"Wellington, Kelburn Aws",19/01/2018,8,5.4,-,92,0,24,D,,,,
"Auckland, Motat Ews",20/01/2018,8,0.2,-,93.8,0,24,D,,,,
"Wellington, Kelburn Aws",20/01/2018,8,0,-,95.7,0,24,D,,,,
"Auckland, Motat Ews",21/01/2018,8,0,-,97.6,0,24,D,,,,
"Wellington, Kelburn Aws",21/01/2018,8,0,-,99.3,0,24,D,,,,
"Auckland, Motat Ews",22/01/2018,8,11.4,-,89.6,0,24,D,,,,
"Wellington, Kelburn Aws",22/01/2018,8,0,-,102.6,0,24,D,,,,
"Auckland, Motat Ews",23/01/2018,8,4.4,-,89.2,0,24,D,,,,
"Wellington, Kelburn Aws",23/01/2018,8,0,-,105.7,0,24,D,,,,
"Auckland, Motat Ews",24/01/2018,8,8,-,85.2,0,24,D,,,,
"Wellington, Kelburn Aws",24/01/2018,8,0,-,108.6,0,24,D,,,,
"Auckland, Motat Ews",25/01/2018,8,0,-,89.5,0,24,D,,,,
"Wellington, Kelburn Aws",25/01/2018,8,0,-,111.3,0,24,D,,,,
"Auckland, Motat Ews",26/01/2018,8,0,-,93.5,0,24,D,,,,
"Wellington, Kelburn Aws",26/01/2018,8,0,-,113.8,0,24,D,,,,
"Auckland, Motat Ews",27/01/2018,8,0,-,97.2,0,24,D,,,,
"Wellington, Kelburn Aws",27/01/2018,8,1.4,-,114.8,0,24,D,,,,
"Auckland, Motat Ews",28/01/2018,8,1.2,-,99.5,0,24,D,,,,
"Wellington, Kelburn Aws",28/01/2018,8,0.2,-,116.9,0,24,D,,,,
"Auckland, Motat Ews",29/01/2018,8,0,-,102.8,0,24,D,,,,
"Wellington, Kelburn Aws",29/01/2018,8,0,-,119,0,24,D,,,,
"Auckland, Motat Ews",30/01/2018,8,0,-,105.9,0,24,D,,,,
"Wellington, Kelburn Aws",30/01/2018,8,0,-,121.1,0,24,D,,,,
"Auckland, Motat Ews",31/01/2018,8,0,-,108.8,0,24,D,,,,
"Wellington, Kelburn Aws",31/01/2018,8,0,-,123,0,24,D,,,,
"Auckland, Motat Ews",1/02/2018,8,0.4,-,111.2,0,24,D,,,,
"Wellington, Kelburn Aws",1/02/2018,8,0,-,124.7,0,24,D,,,,
"Auckland, Motat Ews",2/02/2018,8,31.8,-,81.2,0,24,D,,,,
"Wellington, Kelburn Aws",2/02/2018,8,25.8,-,100.4,0,24,D,,,,
"Auckland, Motat Ews",3/02/2018,8,0.4,-,84,0,24,D,,,,
"Wellington, Kelburn Aws",3/02/2018,8,3.2,-,100.2,0,24,D,,,,
"Auckland, Motat Ews",4/02/2018,8,23.2,-,63.8,0,24,D,,,,
"Wellington, Kelburn Aws",4/02/2018,8,0.2,-,103,0,24,D,,,,
"Auckland, Motat Ews",5/02/2018,8,23,-,44.3,0,24,D,,,,
"Wellington, Kelburn Aws",5/02/2018,8,0,-,105.8,0,24,D,,,,
"Auckland, Motat Ews",6/02/2018,8,7.6,-,40.2,0,24,D,,,,
"Wellington, Kelburn Aws",6/02/2018,8,0,-,108.5,0,24,D,,,,
"Auckland, Motat Ews",7/02/2018,8,0,-,43.7,0,24,D,,,,
"Wellington, Kelburn Aws",7/02/2018,8,0,-,111,0,24,D,,,,
"Auckland, Motat Ews",8/02/2018,8,0.6,-,46.5,0,24,D,,,,
"Wellington, Kelburn Aws",8/02/2018,8,0,-,113.3,0,24,D,,,,
"Auckland, Motat Ews",9/02/2018,8,11.2,-,38.8,0,24,D,,,,
"Wellington, Kelburn Aws",9/02/2018,8,0,-,115.5,0,24,D,,,,
"Auckland, Motat Ews",10/02/2018,8,8.2,-,34.1,0,24,D,,,,
"Wellington, Kelburn Aws",10/02/2018,8,0,-,117.6,0,24,D,,,,
"Auckland, Motat Ews",11/02/2018,8,17.6,-,20,0,24,D,,,,
"Wellington, Kelburn Aws",11/02/2018,8,3.8,-,115.7,0,24,D,,,,
"Auckland, Motat Ews",12/02/2018,8,33.8,-,0,10.4,24,D,,,,
"Wellington, Kelburn Aws",12/02/2018,8,13.2,-,104.6,0,24,D,,,,
"Auckland, Motat Ews",13/02/2018,8,15.2,-,0,11.7,24,D,,,,
"Wellington, Kelburn Aws",13/02/2018,8,0.2,-,107.1,0,24,D,,,,
"Auckland, Motat Ews",14/02/2018,8,12,-,0,8.5,24,D,,,,
"Wellington, Kelburn Aws",14/02/2018,8,0,-,109.7,0,24,D,,,,
"Auckland, Motat Ews",15/02/2018,8,8.6,-,0,5.1,24,D,,,,
"Wellington, Kelburn Aws",15/02/2018,8,0,-,112.1,0,24,D,,,,
"Auckland, Motat Ews",16/02/2018,8,0,-,3.5,0,24,D,,,,
"Wellington, Kelburn Aws",16/02/2018,8,0,-,114.4,0,24,D,,,,
"Auckland, Motat Ews",17/02/2018,8,0,-,7,0,24,D,,,,
"Wellington, Kelburn Aws",17/02/2018,8,0,-,116.5,0,24,D,,,,
"Auckland, Motat Ews",18/02/2018,8,0,-,10.4,0,24,D,,,,
"Wellington, Kelburn Aws",18/02/2018,8,0,-,118.6,0,24,D,,,,
"Auckland, Motat Ews",19/02/2018,8,0,-,13.9,0,24,D,,,,
"Wellington, Kelburn Aws",19/02/2018,8,0,-,120.4,0,24,D,,,,
"Auckland, Motat Ews",20/02/2018,8,1.2,-,16.2,0,24,D,,,,
"Wellington, Kelburn Aws",20/02/2018,8,18.6,-,103.6,0,24,D,,,,
"Auckland, Motat Ews",21/02/2018,8,4.8,-,14.9,0,24,D,,,,
"Wellington, Kelburn Aws",21/02/2018,8,62,-,44.4,0,24,D,,,,
"Auckland, Motat Ews",22/02/2018,8,2.2,-,16.2,0,24,D,,,,
"Wellington, Kelburn Aws",22/02/2018,8,16.4,-,32.5,0,24,D,,,,
"Auckland, Motat Ews",23/02/2018,8,0.8,-,18.8,0,24,D,,,,
"Wellington, Kelburn Aws",23/02/2018,8,0,-,37,0,24,D,,,,
"Auckland, Motat Ews",24/02/2018,8,0,-,22.3,0,24,D,,,,
"Wellington, Kelburn Aws",24/02/2018,8,0,-,41.5,0,24,D,,,,
"Auckland, Motat Ews",25/02/2018,8,0,-,25.8,0,24,D,,,,
"Wellington, Kelburn Aws",25/02/2018,8,0,-,46,0,24,D,,,,
